marker,article,previous,current,next,link
"(Fellbaum, 1998)",W14-0118,1 Introduction,"Various methods have been proposed in the past for measuring similarity between words using Princeton WordNet (Fellbaum, 1998).","Some of these methods (path (Rada et al., 1989), lch (Leacock and Chodorow, 1998), wup (Wu and Palmer, 1994), res (Resnik, 1995), lin (Lin, 1998), jcn (Jiang and Conrath, 1997), among others) were implemented in the WordNet::Similarity package (Pedersen et al., 2004).",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
"(Rada et al., 1989)",W14-0118,"Various methods have been proposed in the past for measuring similarity between words using Princeton WordNet (Fellbaum, 1998).","Some of these methods (path (Rada et al., 1989), lch (Leacock and Chodorow, 1998), wup (Wu and Palmer, 1994), res (Resnik, 1995), lin (Lin, 1998), jcn (Jiang and Conrath, 1997), among others) were implemented in the WordNet::Similarity package (Pedersen et al., 2004).",WordNet::Similarity 1 has become an important instrument for measuring similarity between any set of words in a language but also for testing the performance of wordnet as a database of synonymy and semantic relations.,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
"(Leacock and Chodorow, 1998)",W14-0118,"Various methods have been proposed in the past for measuring similarity between words using Princeton WordNet (Fellbaum, 1998).","Some of these methods (path (Rada et al., 1989), lch (Leacock and Chodorow, 1998), wup (Wu and Palmer, 1994), res (Resnik, 1995), lin (Lin, 1998), jcn (Jiang and Conrath, 1997), among others) were implemented in the WordNet::Similarity package (Pedersen et al., 2004).",WordNet::Similarity 1 has become an important instrument for measuring similarity between any set of words in a language but also for testing the performance of wordnet as a database of synonymy and semantic relations.,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
"(Wu and Palmer, 1994)",W14-0118,"Various methods have been proposed in the past for measuring similarity between words using Princeton WordNet (Fellbaum, 1998).","Some of these methods (path (Rada et al., 1989), lch (Leacock and Chodorow, 1998), wup (Wu and Palmer, 1994), res (Resnik, 1995), lin (Lin, 1998), jcn (Jiang and Conrath, 1997), among others) were implemented in the WordNet::Similarity package (Pedersen et al., 2004).",WordNet::Similarity 1 has become an important instrument for measuring similarity between any set of words in a language but also for testing the performance of wordnet as a database of synonymy and semantic relations.,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
"(Resnik, 1995)",W14-0118,"Various methods have been proposed in the past for measuring similarity between words using Princeton WordNet (Fellbaum, 1998).","Some of these methods (path (Rada et al., 1989), lch (Leacock and Chodorow, 1998), wup (Wu and Palmer, 1994), res (Resnik, 1995), lin (Lin, 1998), jcn (Jiang and Conrath, 1997), among others) were implemented in the WordNet::Similarity package (Pedersen et al., 2004).",WordNet::Similarity 1 has become an important instrument for measuring similarity between any set of words in a language but also for testing the performance of wordnet as a database of synonymy and semantic relations.,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
"(Lin, 1998)",W14-0118,"Various methods have been proposed in the past for measuring similarity between words using Princeton WordNet (Fellbaum, 1998).","Some of these methods (path (Rada et al., 1989), lch (Leacock and Chodorow, 1998), wup (Wu and Palmer, 1994), res (Resnik, 1995), lin (Lin, 1998), jcn (Jiang and Conrath, 1997), among others) were implemented in the WordNet::Similarity package (Pedersen et al., 2004).",WordNet::Similarity 1 has become an important instrument for measuring similarity between any set of words in a language but also for testing the performance of wordnet as a database of synonymy and semantic relations.,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
"(Jiang and Conrath, 1997)",W14-0118,"Various methods have been proposed in the past for measuring similarity between words using Princeton WordNet (Fellbaum, 1998).","Some of these methods (path (Rada et al., 1989), lch (Leacock and Chodorow, 1998), wup (Wu and Palmer, 1994), res (Resnik, 1995), lin (Lin, 1998), jcn (Jiang and Conrath, 1997), among others) were implemented in the WordNet::Similarity package (Pedersen et al., 2004).",WordNet::Similarity 1 has become an important instrument for measuring similarity between any set of words in a language but also for testing the performance of wordnet as a database of synonymy and semantic relations.,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
"(Pedersen et al., 2004)",W14-0118,"Various methods have been proposed in the past for measuring similarity between words using Princeton WordNet (Fellbaum, 1998).","Some of these methods (path (Rada et al., 1989), lch (Leacock and Chodorow, 1998), wup (Wu and Palmer, 1994), res (Resnik, 1995), lin (Lin, 1998), jcn (Jiang and Conrath, 1997), among others) were implemented in the WordNet::Similarity package (Pedersen et al., 2004).",WordNet::Similarity 1 has become an important instrument for measuring similarity between any set of words in a language but also for testing the performance of wordnet as a database of synonymy and semantic relations.,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
(1965),W14-0118,WordNet::Similarity 1 has become an important instrument for measuring similarity between any set of words in a language but also for testing the performance of wordnet as a database of synonymy and semantic relations.,The toolkit was used to evaluate the different measures against a gold standard of English words created by Rubenstein and Goodenough (1965) and Miller and Charles (1991).,The evaluation results tell us something about the capacity of WordNet to mimic human judgements of similarity but also about the different methods in relation to each other.,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
(1991),W14-0118,WordNet::Similarity 1 has become an important instrument for measuring similarity between any set of words in a language but also for testing the performance of wordnet as a database of synonymy and semantic relations.,The toolkit was used to evaluate the different measures against a gold standard of English words created by Rubenstein and Goodenough (1965) and Miller and Charles (1991).,The evaluation results tell us something about the capacity of WordNet to mimic human judgements of similarity but also about the different methods in relation to each other.,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
"(Vossen, Soria and Monachini, 2013)",W14-0118,The evaluation results tell us something about the capacity of WordNet to mimic human judgements of similarity but also about the different methods in relation to each other.,"Unfortunately, WordNet::Similarity only works for the Princeton WordNet released in its proprietary format and not wordnets in other languages in other formats, such as Wordnet-LMF (Vossen, Soria and Monachini, 2013).","Furthermore, no gold standard exists for Dutch, the language that we study.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
"(Vossen et al., 2013)",W14-0118,Section 3 explains how we created the Dutch gold standard and section 4 the WordnetTools implementation of the similarity functions.,"In section 5, we report the results using the Dutch wordnet Cornetto 2.1 (Vossen et al., 2013).",2 Related work,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf
