_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,what_is_the_function_of_this_citation,what_is_the_function_of_this_citation:confidence,article,current,link,marker,next,previous,what_is_the_function_of_this_citation_gold
1139042743,false,finalized,3,1/23/2017 16:24:49,Neut,1.0,W14-0118,"Various methods have been proposed in the past for measuring similarity between words using Princeton WordNet (Fellbaum, 1998).",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,"(Fellbaum, 1998)","Some of these methods (path (Rada et al., 1989), lch (Leacock and Chodorow, 1998), wup (Wu and Palmer, 1994), res (Resnik, 1995), lin (Lin, 1998), jcn (Jiang and Conrath, 1997), among others) were implemented in the WordNet::Similarity package (Pedersen et al., 2004).",1 Introduction,
1139042744,false,finalized,3,1/23/2017 16:04:32,Neut,1.0,W14-0118,"Some of these methods (path (Rada et al., 1989), lch (Leacock and Chodorow, 1998), wup (Wu and Palmer, 1994), res (Resnik, 1995), lin (Lin, 1998), jcn (Jiang and Conrath, 1997), among others) were implemented in the WordNet::Similarity package (Pedersen et al., 2004).",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,"(Rada et al., 1989)",WordNet::Similarity 1 has become an important instrument for measuring similarity between any set of words in a language but also for testing the performance of wordnet as a database of synonymy and semantic relations.,"Various methods have been proposed in the past for measuring similarity between words using Princeton WordNet (Fellbaum, 1998).",
1139042745,false,finalized,3,1/23/2017 16:27:50,Neut,1.0,W14-0118,"Some of these methods (path (Rada et al., 1989), lch (Leacock and Chodorow, 1998), wup (Wu and Palmer, 1994), res (Resnik, 1995), lin (Lin, 1998), jcn (Jiang and Conrath, 1997), among others) were implemented in the WordNet::Similarity package (Pedersen et al., 2004).",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,"(Leacock and Chodorow, 1998)",WordNet::Similarity 1 has become an important instrument for measuring similarity between any set of words in a language but also for testing the performance of wordnet as a database of synonymy and semantic relations.,"Various methods have been proposed in the past for measuring similarity between words using Princeton WordNet (Fellbaum, 1998).",
1139042746,false,finalized,3,1/23/2017 16:40:15,Neut,1.0,W14-0118,"Some of these methods (path (Rada et al., 1989), lch (Leacock and Chodorow, 1998), wup (Wu and Palmer, 1994), res (Resnik, 1995), lin (Lin, 1998), jcn (Jiang and Conrath, 1997), among others) were implemented in the WordNet::Similarity package (Pedersen et al., 2004).",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,"(Wu and Palmer, 1994)",WordNet::Similarity 1 has become an important instrument for measuring similarity between any set of words in a language but also for testing the performance of wordnet as a database of synonymy and semantic relations.,"Various methods have been proposed in the past for measuring similarity between words using Princeton WordNet (Fellbaum, 1998).",
1139042747,false,finalized,3,1/23/2017 17:07:28,Neut,1.0,W14-0118,"Some of these methods (path (Rada et al., 1989), lch (Leacock and Chodorow, 1998), wup (Wu and Palmer, 1994), res (Resnik, 1995), lin (Lin, 1998), jcn (Jiang and Conrath, 1997), among others) were implemented in the WordNet::Similarity package (Pedersen et al., 2004).",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,"(Resnik, 1995)",WordNet::Similarity 1 has become an important instrument for measuring similarity between any set of words in a language but also for testing the performance of wordnet as a database of synonymy and semantic relations.,"Various methods have been proposed in the past for measuring similarity between words using Princeton WordNet (Fellbaum, 1998).",
1139042748,false,finalized,3,1/23/2017 16:48:36,Neut,1.0,W14-0118,"Some of these methods (path (Rada et al., 1989), lch (Leacock and Chodorow, 1998), wup (Wu and Palmer, 1994), res (Resnik, 1995), lin (Lin, 1998), jcn (Jiang and Conrath, 1997), among others) were implemented in the WordNet::Similarity package (Pedersen et al., 2004).",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,"(Lin, 1998)",WordNet::Similarity 1 has become an important instrument for measuring similarity between any set of words in a language but also for testing the performance of wordnet as a database of synonymy and semantic relations.,"Various methods have been proposed in the past for measuring similarity between words using Princeton WordNet (Fellbaum, 1998).",
1139042749,false,finalized,3,1/23/2017 16:07:49,Neut,1.0,W14-0118,"Some of these methods (path (Rada et al., 1989), lch (Leacock and Chodorow, 1998), wup (Wu and Palmer, 1994), res (Resnik, 1995), lin (Lin, 1998), jcn (Jiang and Conrath, 1997), among others) were implemented in the WordNet::Similarity package (Pedersen et al., 2004).",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,"(Jiang and Conrath, 1997)",WordNet::Similarity 1 has become an important instrument for measuring similarity between any set of words in a language but also for testing the performance of wordnet as a database of synonymy and semantic relations.,"Various methods have been proposed in the past for measuring similarity between words using Princeton WordNet (Fellbaum, 1998).",
1139042750,false,finalized,3,1/23/2017 16:28:16,Neut,1.0,W14-0118,"Some of these methods (path (Rada et al., 1989), lch (Leacock and Chodorow, 1998), wup (Wu and Palmer, 1994), res (Resnik, 1995), lin (Lin, 1998), jcn (Jiang and Conrath, 1997), among others) were implemented in the WordNet::Similarity package (Pedersen et al., 2004).",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,"(Pedersen et al., 2004)",WordNet::Similarity 1 has become an important instrument for measuring similarity between any set of words in a language but also for testing the performance of wordnet as a database of synonymy and semantic relations.,"Various methods have been proposed in the past for measuring similarity between words using Princeton WordNet (Fellbaum, 1998).",
1139042751,false,finalized,3,1/23/2017 16:13:12,Neut,0.6692,W14-0118,The toolkit was used to evaluate the different measures against a gold standard of English words created by Rubenstein and Goodenough (1965) and Miller and Charles (1991).,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,(1965),The evaluation results tell us something about the capacity of WordNet to mimic human judgements of similarity but also about the different methods in relation to each other.,WordNet::Similarity 1 has become an important instrument for measuring similarity between any set of words in a language but also for testing the performance of wordnet as a database of synonymy and semantic relations.,
1139042752,false,finalized,3,1/24/2017 05:53:28,Neut,0.6791,W14-0118,The toolkit was used to evaluate the different measures against a gold standard of English words created by Rubenstein and Goodenough (1965) and Miller and Charles (1991).,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,(1991),The evaluation results tell us something about the capacity of WordNet to mimic human judgements of similarity but also about the different methods in relation to each other.,WordNet::Similarity 1 has become an important instrument for measuring similarity between any set of words in a language but also for testing the performance of wordnet as a database of synonymy and semantic relations.,
1139042753,false,finalized,3,1/23/2017 16:56:36,Neut,0.6664,W14-0118,"Unfortunately, WordNet::Similarity only works for the Princeton WordNet released in its proprietary format and not wordnets in other languages in other formats, such as Wordnet-LMF (Vossen, Soria and Monachini, 2013).",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,"(Vossen, Soria and Monachini, 2013)","Furthermore, no gold standard exists for Dutch, the language that we study.",The evaluation results tell us something about the capacity of WordNet to mimic human judgements of similarity but also about the different methods in relation to each other.,
1139042754,false,finalized,3,1/23/2017 16:44:58,Pos,0.6566,W14-0118,"In section 5, we report the results using the Dutch wordnet Cornetto 2.1 (Vossen et al., 2013).",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,"(Vossen et al., 2013)",2 Related work,Section 3 explains how we created the Dutch gold standard and section 4 the WordnetTools implementation of the similarity functions.,
1139042755,false,finalized,3,1/23/2017 16:28:16,Neut,0.6533,W14-0118,"This difference is dubbed the 'tennisphenomenon' in Fellbaum (1998) : where tennis ball, player, racket and game are closely related but all very different things.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,(1998),"Since WordNet dominantly consists of synonymy and hyponymy relations, it more naturally reflects similarity than relatedness.","part-whole or causal relations, are most likely not similar but strongly related.",
1139042756,false,finalized,3,1/23/2017 16:04:32,Neut,1.0,W14-0118,"Except for the lesk (Lesk, 1986), vector (Patwardhan and Pedersen, 2006), and vector pairs (Patwardhan and Pedersen, 2006) algorithms, these measures are all based on synonymy and hyponymy.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,"(Lesk, 1986)",Another approach to measure similarity across different languages is described by Joubarne and Inkpen (2011).,"Since the first release of WordNet, researchers have tried to use it to simulate similarity.",
1139042757,false,finalized,3,1/23/2017 16:48:36,Neut,1.0,W14-0118,"Except for the lesk (Lesk, 1986), vector (Patwardhan and Pedersen, 2006), and vector pairs (Patwardhan and Pedersen, 2006) algorithms, these measures are all based on synonymy and hyponymy.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,"(Patwardhan and Pedersen, 2006)",Another approach to measure similarity across different languages is described by Joubarne and Inkpen (2011).,"Since the first release of WordNet, researchers have tried to use it to simulate similarity.",
1139042758,false,finalized,3,1/23/2017 16:32:37,Neut,1.0,W14-0118,"Except for the lesk (Lesk, 1986), vector (Patwardhan and Pedersen, 2006), and vector pairs (Patwardhan and Pedersen, 2006) algorithms, these measures are all based on synonymy and hyponymy.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,"(Patwardhan and Pedersen, 2006)",Another approach to measure similarity across different languages is described by Joubarne and Inkpen (2011).,"Since the first release of WordNet, researchers have tried to use it to simulate similarity.",
1139042759,false,finalized,3,1/23/2017 16:07:49,Neut,1.0,W14-0118,Another approach to measure similarity across different languages is described by Joubarne and Inkpen (2011).,http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,(2011),"The aim of their paper is to show that it might be possible to use the scores from the English gold standards in other languages, hence making it unnecessary to create gold standards with human-assigned judgements in every single language.","Except for the lesk (Lesk, 1986), vector (Patwardhan and Pedersen, 2006), and vector pairs (Patwardhan and Pedersen, 2006) algorithms, these measures are all based on synonymy and hyponymy.",
1139042760,false,finalized,3,1/23/2017 16:56:36,Neut,1.0,W14-0118,"Besides Joubarne and Inkpen (2011), other studies have made an effort to translate the original datasets by Rubenstein & Goodenough and by Miller & Charles.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,(2011),"Hassan and Mihalcea (2009) translated these datasets into Spanish, Arabic, and Romanian.","The difference between these correlations was relatively small, which is why they claim that it is possible to use the original scores from the English gold standard in other languages.",
1139042761,false,finalized,3,1/23/2017 16:13:12,Neut,1.0,W14-0118,"Hassan and Mihalcea (2009) translated these datasets into Spanish, Arabic, and Romanian.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,(2009),"For Spanish, native speakers, who were highly proficient in English, were asked to translate the datasets.","Besides Joubarne and Inkpen (2011), other studies have made an effort to translate the original datasets by Rubenstein & Goodenough and by Miller & Charles.",
1139042762,false,finalized,3,1/23/2017 16:28:54,Neut,1.0,W14-0118,"Finally, Gurevych (2005) translated the datasets into German.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,(2005),"However, no instructions, as to how it was done, were provided.","Because of the fact that the Pearson correlation with the original datasets was 0.86, only one translator translated the datasets into Arabic and Romanian.",
1139042763,false,finalized,3,1/23/2017 16:15:39,Neut,0.6824,W14-0118,"Inspired by Hassan and Mihalcea (2009), the following general procedure is followed in the translation of the 49 words: 2",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,(2009),1.,"Whenever Rubenstein & Goodenough used the word cord, Miller & Charles uses the word chord.",
1139042764,false,finalized,3,1/23/2017 16:27:50,Pos,0.6528,W14-0118,"In order to calculate relative frequencies of the English words, the English sense-tagged corpus SemCor (Miller et al., 1993) was used.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,"(Miller et al., 1993)","For Dutch, such a resource was not available.","In addition, the relative frequencies of the English word and its translation were checked.",
1139042765,false,finalized,3,1/23/2017 16:28:54,Neut,1.0,W14-0118,"We are aware of the fact that the Dutch sense-tagged corpus DutchSemCor (Vossen et al., 2012) exists.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,"(Vossen et al., 2012)","However, an effort was made to provide an equal number of examples for each meaning in this corpus.","For Dutch, such a resource was not available.",
1139042766,false,finalized,3,1/23/2017 16:46:09,Neut,0.6825,W14-0118,"Therefore the frequencies of the lemmas in the Dutch corpus called SoNaR (Oostdijk et al., 2008) were used.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,"(Oostdijk et al., 2008)",It was checked whether or not the English word and its Dutch counterpart were located in the same class of relative frequency.,"Although this is very useful for WSD-experiments, this makes this corpus less useful for Information Content calculations.",
1139042767,false,finalized,3,1/23/2017 16:52:43,Pos,0.6528,W14-0118,"The WordSimilarity-353 Test Collection (Finkelstein et al., 2002) was used to obtain example word pairs for each value that could be assigned to a word pair.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,"(Finkelstein et al., 2002)",This dataset contains two sets of English word pairs with similarity scores assigned by humans.,These instructions were explained to the participants by an example of each value that could be assigned to a word pair and a general description.,
1139042768,false,finalized,3,1/23/2017 16:24:49,Neut,0.6729,W14-0118,"Finally, we try to replicate the English experiment by Pedersen (2010) using English Wordnet-LMF and WordnetTools.",http://www.aclweb.org/anthology/W/W14/W14-0118.pdf,(2010),5,"We start by comparing the Dutch to the English gold standards, followed by an evaluation of the comparison between the Dutch gold standards and the similarity measures.",
